               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11896,            0.036606,            0.042816,           0.0087984,             0.04386,           0.0048944,           0.0010047,             0.10604,            0.030845,            0.036986,               8e-05,               8e-05,             0.09928
                   1,              0.1139,            0.037209,            0.041563,            0.010795,             0.05848,           0.0073833,           0.0011876,              0.1005,            0.029701,            0.036023,          0.00016996,          0.00016996,             0.09847
                   2,             0.10507,            0.035207,            0.040247,           0.0094321,            0.066695,           0.0065506,           0.0013674,            0.095065,            0.028988,            0.034411,          0.00025977,          0.00025977,             0.09766
                   3,            0.099143,            0.036221,            0.037765,            0.011521,            0.031511,           0.0054722,          0.00098513,            0.090316,            0.028588,            0.032529,           0.0003493,           0.0003493,            0.096849
                   4,            0.096235,            0.038385,            0.036574,            0.012427,            0.017544,           0.0058335,           0.0012031,            0.085542,            0.028475,            0.030876,          0.00043844,          0.00043844,            0.096038
                   5,            0.089779,            0.037522,            0.034947,            0.024654,            0.040936,            0.013297,           0.0031152,            0.081335,            0.028521,            0.029377,          0.00052706,          0.00052706,            0.095227
                   6,            0.085395,            0.038133,            0.033287,            0.047064,            0.055556,            0.031378,            0.007355,            0.077828,            0.028537,            0.027562,          0.00061506,          0.00061506,            0.094415
                   7,            0.084331,             0.03982,            0.030541,              0.1038,            0.076023,            0.067637,            0.016126,            0.071962,            0.028621,            0.025459,          0.00070231,          0.00070231,            0.093602
                   8,            0.077621,            0.043209,             0.02925,            0.090589,             0.16368,             0.10183,            0.029259,            0.067413,            0.028259,            0.024515,          0.00078869,          0.00078869,            0.092789
                   9,            0.073412,            0.040184,             0.02699,             0.47963,             0.16011,             0.13882,            0.041359,            0.061487,            0.027764,            0.023814,           0.0008741,           0.0008741,            0.091974
                  10,            0.072863,            0.041235,            0.026578,              0.5072,             0.16578,             0.17086,             0.06263,                0.06,            0.026963,             0.02264,          0.00095842,          0.00095842,            0.091158
                  11,            0.070615,            0.039038,             0.02446,             0.58892,             0.16341,             0.22957,            0.099899,            0.055876,            0.026374,            0.020697,           0.0010415,           0.0010415,            0.090342
                  12,            0.064602,            0.042125,            0.022519,             0.50212,             0.38717,             0.26636,              0.1236,            0.052334,             0.02565,            0.019057,           0.0011233,           0.0011233,            0.089523
                  13,            0.063578,            0.041042,            0.021713,             0.59638,             0.33333,             0.31168,             0.14456,             0.05099,            0.025004,            0.017609,           0.0012037,           0.0012037,            0.088704
                  14,            0.061024,            0.038268,             0.02023,              0.6936,             0.39255,               0.377,             0.16574,            0.048942,            0.024635,            0.016796,           0.0012826,           0.0012826,            0.087883
                  15,            0.060307,            0.039673,            0.020144,             0.69837,              0.4713,             0.41576,             0.16869,            0.046286,            0.023208,            0.015094,           0.0013599,           0.0013599,             0.08706
                  16,            0.058008,            0.031661,            0.017632,             0.73582,             0.49638,             0.46319,             0.22444,            0.043497,            0.021093,             0.01244,           0.0014354,           0.0014354,            0.086235
                  17,             0.05804,             0.03376,            0.015691,             0.69869,             0.46115,             0.38356,             0.13313,            0.047625,            0.019839,            0.011118,           0.0015091,           0.0015091,            0.085409
                  18,            0.058731,            0.029909,            0.015965,             0.75379,             0.52868,             0.48826,             0.26679,            0.041888,            0.018088,           0.0094482,           0.0015809,           0.0015809,            0.084581
                  19,            0.055309,            0.028466,            0.014355,             0.65813,             0.49889,             0.41981,             0.20007,            0.046814,            0.017366,           0.0081915,           0.0016507,           0.0016507,            0.083751
                  20,            0.053261,            0.031629,            0.012082,             0.71091,             0.49338,             0.43853,             0.23364,            0.045292,             0.01684,           0.0071284,           0.0017184,           0.0017184,            0.082918
                  21,            0.054888,            0.027195,            0.012082,             0.66238,             0.46366,             0.42975,             0.18164,            0.049478,            0.016332,           0.0067088,            0.001784,            0.001784,            0.082084
                  22,            0.055018,             0.02636,            0.010116,             0.78401,              0.4929,             0.50957,             0.25993,            0.040296,            0.015735,             0.00595,           0.0018473,           0.0018473,            0.081247
                  23,            0.057039,            0.031081,           0.0094681,             0.73146,             0.38689,             0.43349,             0.23535,            0.050245,            0.015603,           0.0053396,           0.0019082,           0.0019082,            0.080408
                  24,            0.055681,            0.027477,           0.0097709,              0.7689,             0.48661,             0.50261,              0.2872,            0.044381,            0.014813,           0.0048348,           0.0019668,           0.0019668,            0.079567
                  25,            0.055659,            0.025902,           0.0092305,              0.8889,             0.49292,             0.56399,             0.34624,            0.043185,            0.014175,           0.0046858,           0.0020229,           0.0020229,            0.078723
                  26,            0.053999,             0.02632,           0.0081018,              0.7395,             0.51281,             0.51627,             0.29649,            0.039463,            0.013816,           0.0043391,           0.0020765,           0.0020765,            0.077876
                  27,            0.050978,            0.026052,           0.0080145,             0.87264,             0.49607,             0.55385,             0.29709,            0.048475,            0.013383,           0.0040055,           0.0021275,           0.0021275,            0.077027
                  28,            0.051304,            0.026449,           0.0076903,             0.82561,             0.51935,             0.57451,             0.35221,            0.037599,            0.013284,           0.0035355,           0.0021758,           0.0021758,            0.076176
                  29,            0.051067,            0.027117,           0.0069089,             0.82408,             0.56494,             0.58984,             0.28316,            0.047915,            0.013156,           0.0034153,           0.0022214,           0.0022214,            0.075321
                  30,            0.049044,            0.023722,           0.0058885,             0.74765,             0.55333,             0.58318,             0.28003,            0.042535,            0.013024,           0.0034252,           0.0022643,           0.0022643,            0.074464
                  31,            0.053886,            0.024207,           0.0049928,             0.66903,              0.4936,             0.48374,             0.19427,            0.047171,            0.013002,           0.0034506,           0.0023044,           0.0023044,            0.073604
                  32,            0.055269,            0.021774,           0.0064951,             0.79211,             0.44387,             0.53256,             0.25439,            0.056119,            0.012553,            0.002942,           0.0023417,           0.0023417,            0.072742
                  33,             0.05564,            0.025713,           0.0070303,             0.81273,             0.48816,             0.59376,             0.28411,            0.061162,            0.011885,           0.0028082,           0.0023762,           0.0023762,            0.071876
                  34,            0.059471,            0.022696,           0.0052239,             0.77993,             0.52887,             0.60467,             0.24907,            0.053584,            0.012255,           0.0029395,           0.0024077,           0.0024077,            0.071008
                  35,            0.055022,            0.021608,            0.004509,             0.72229,             0.53175,             0.48751,             0.25964,            0.049597,            0.012276,           0.0031299,           0.0024364,           0.0024364,            0.070136
                  36,            0.054789,            0.023668,           0.0055717,             0.80487,             0.52326,             0.61756,              0.2886,            0.052688,             0.01142,           0.0028732,           0.0024621,           0.0024621,            0.069262
                  37,            0.054721,            0.021961,           0.0054845,             0.79219,              0.4695,             0.58412,             0.27114,            0.053671,            0.011446,           0.0028393,           0.0024849,           0.0024849,            0.068385
                  38,            0.052446,            0.021599,           0.0047815,             0.91324,             0.50911,             0.66196,             0.32152,            0.044569,            0.011498,           0.0026519,           0.0025048,           0.0025048,            0.067505
                  39,            0.051041,            0.020288,           0.0050339,             0.87682,             0.52786,             0.66057,             0.36315,             0.03928,            0.011759,           0.0026619,           0.0025217,           0.0025217,            0.066622
                  40,            0.051601,            0.022959,            0.004043,             0.76344,             0.52844,             0.53458,             0.25244,            0.046498,             0.01176,           0.0026555,           0.0025357,           0.0025357,            0.065736
                  41,            0.050542,            0.022007,           0.0039239,              0.9415,             0.55447,             0.68737,              0.4058,            0.043588,            0.011611,           0.0026704,           0.0025468,           0.0025468,            0.064847
                  42,            0.051098,            0.021638,           0.0049679,              0.8689,             0.51184,              0.7024,             0.37301,            0.042261,            0.011544,            0.002573,            0.002555,            0.002555,            0.063955
                  43,            0.049074,            0.020115,           0.0034069,             0.78682,              0.5394,             0.56251,              0.2692,            0.046018,            0.011491,           0.0026069,           0.0025602,           0.0025602,             0.06306
                  44,            0.048941,            0.021731,           0.0047849,               0.902,             0.57231,             0.64571,             0.34448,            0.038946,             0.01086,           0.0026217,           0.0025627,           0.0025627,            0.062163
